league,aggregation,competition_code,country,league_group,level,category,is_youth,is_reserve,is_professional,notes
U17 Nachwuchsliga - Gr. A,DFB-Nachwuchsliga,17DA,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. B,DFB-Nachwuchsliga,17DB,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. C,DFB-Nachwuchsliga,17DC,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. D,DFB-Nachwuchsliga,17DD,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. E,DFB-Nachwuchsliga,17DE,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. F,DFB-Nachwuchsliga,17DF,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. G,DFB-Nachwuchsliga,17DG,Germany,,,,False,False,,
U17 Nachwuchsliga - Gr. H,DFB-Nachwuchsliga,17DH,Germany,,,,False,False,,
U17 Nachwuchsliga - Liga A,DFB-Nachwuchsliga,17LA,Germany,,,,False,False,,
U17 Nachwuchsliga - Liga B,DFB-Nachwuchsliga,17LB,Germany,,,,False,False,,
U18 Div. 1 Herbst,,181F,,,,,False,False,,
U18 Div. 2 Herbst,,182F,,,,,False,False,,
U18 Div. 2 Frühling,,182S,,,,,False,False,,
U19 Nachwuchsliga - Gr. A,DFB-Nachwuchsliga,19D1,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. B,DFB-Nachwuchsliga,19D2,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. C,DFB-Nachwuchsliga,19D3,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. D,DFB-Nachwuchsliga,19D4,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. E,DFB-Nachwuchsliga,19D5,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. F,DFB-Nachwuchsliga,19D6,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. G,DFB-Nachwuchsliga,19D7,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. H,DFB-Nachwuchsliga,19D8,Germany,,,,False,False,,
U19 Nachwuchsliga - Gr. I,DFB-Nachwuchsliga,19D9,Germany,,,,False,False,,
U19 Nachwuchsliga - Liga B,DFB-Nachwuchsliga,19LB,Germany,,,,False,False,,
U21 Div. 1 Herbst,Youth,211F,Netherlands,,,,False,False,,
U21 Div. 2 Herbst,Youth,212F,Netherlands,,,,False,False,,
U21 Div. 2 Frühling,Youth,212S,Netherlands,,,,False,False,,
Liguilla MX U21 Apertura,,21MA,,,,,False,False,,
2. Division B,2. Division B,2DVB,Russia,,,,False,False,,
Derde Divisie A,Derde Divisie,510,Netherlands,,,,False,False,,
Derde Divisie B,Derde Divisie,511,Netherlands,,,,False,False,,
Bundesliga,,A1,Austria,,,,False,False,,
Playoff Torneo Clausura,,A1P2,Argentina,,,,False,False,,
2. Liga,,A2,Austria,,,,False,False,,
NPL New South Wales,,A2SW,Australia,,,,False,False,,
Prim. Nacional - Reducido,,A2TP,Argentina,,,,False,False,,
NPL Victoria,,A2VI,Australia,,,,False,False,,
Federal A - Reválida Playoff,,A3RP,Argentina,,,,False,False,,
Burgenlandliga,Landesliga,A4B,Austria,,,,False,False,,
Kärntner Liga,,A4K,Austria,,,,False,False,,
LL Niederösterreich,,A4N,Austria,,,,False,False,,
OÖ Liga,,A4O,Austria,,,,False,False,,
Salzburger Liga,,A4S,Austria,,,,False,False,,
LL Steiermark,,A4ST,Austria,,,,False,False,,
Tiroler Liga,,A4T,Austria,,,,False,False,,
Eliteliga Vorarlberg,,A4V,Austria,,,,False,False,,
Wiener Stadtliga,,A4W,Austria,,,,False,False,,
2de Nationale FFA,,ACFF,Belgium,,,,False,False,,
U19-Meisterschaft,DFB-Nachwuchsliga,AJ,Germany,,,,False,False,,
U19-BL N/NO,DFB-Nachwuchsliga,AJ1,Germany,,,,False,False,,
U19-Bundesliga West,DFB-Nachwuchsliga,AJ2,Germany,,,,False,False,,
U19-BL Süd/Südwest,DFB-Nachwuchsliga,AJ3,Germany,,,,False,False,,
U19-Relegation Nord/Nordost,DFB-Nachwuchsliga,AJR1,Germany,,,,False,False,,
U19-Relegation Süd/Südwest,DFB-Nachwuchsliga,AJR2,Germany,,,,False,False,,
Kategoria Superiore U21,,AL21,,,,,False,False,,
Kategoria Superiore,,ALB1,Albania,,,,False,False,,
Kategoria e Parë,,ALB2,Albania,,,,False,False,,
Re. Kategoria e Parë,,ALP4,,,,,False,False,,
Primera Divisió,,AND1,Andorra,,,,False,False,,
Segona Divisió,,AND2,Andorra,,,,False,False,,
U18 Patanekan Arajnutyun,,AR18,,,,,False,False,,
Federal A - Fase Campeonato,,AR3F,Argentina,,,,False,False,,
Federal A - Fase Reválida,,AR3R,Argentina,,,,False,False,,
Torneo Apertura,,ARG1,Argentina,,,,False,False,,
Primera Nacional,,ARG2,Argentina,,,,False,False,,
Torneo Federal A,,ARG3,Argentina,,,,False,False,,
Torneo Clausura,,ARGC,Argentina,,,,False,False,,
First League,,ARM2,Armenia,,,,False,False,,
Torneo Proyección,,ARY3,Argentina,,,,False,False,,
Regionalliga Mitte,,ATRM,Austria,,,,False,False,,
Regionalliga Ost,Regionalliga,ATRO,Austria,,,,False,False,,
A-League Men,,AUS1,Australia,,,,False,False,,
Premyer Liqa,,AZ1,Azerbaijan,,,,False,False,,
Campeonato Cearense - Abstiegsr.,,BCE2,,,,,False,False,,
Campeonato Paulista,Campeonato,BCP1,Brazil,,,,False,False,,
Jupiler Pro League,,BE1,Belgium,,,,False,False,,
Challenger Pro League,,BE2,Belgium,,,,False,False,,
U21 Pro League,,BE21,,,,,False,False,,
1ste Nationale FFA,,BE3A,Belgium,,,,False,False,,
1ste Nationale VV,,BE3V,Belgium,,,,False,False,,
3de Nationale VV A,,BE5A,Belgium,,,,False,False,,
3de Nationale VV B,,BE5B,Belgium,,,,False,False,,
1ste Nationale,,BEL3,Belgium,,,,False,False,,
U18 Elite 1 PO B,,BEYO,,,,,False,False,,
U18 Elite 1 PO A,,BEYP,,,,,False,False,,
BFL,,BGD1,Bangladesh,,,,False,False,,
Bhutan Premier League,,BH1L,Bhutan,,,,False,False,,
Prva Liga RS,,BH2S,Bosnien-Herzegowina,,,,False,False,,
Premijer Liga BiH U17,,BI17,Bosnien-Herzegowina,,,,False,False,,
Premijer Liga BiH U19,,BI19,Bosnien-Herzegowina,,,,False,False,,
U17-Meisterschaft,DFB-Nachwuchsliga,BJ,Germany,,,,False,False,,
U17-BL N/NO,DFB-Nachwuchsliga,BJ1,Germany,,,,False,False,,
U17-Bundesliga West,DFB-Nachwuchsliga,BJ2,Germany,,,,False,False,,
U17-Bundesliga Süd/Südwest,DFB-Nachwuchsliga,BJ3,Germany,,,,False,False,,
U17-Relegation Süd/Südwest,DFB-Nachwuchsliga,BJ3R,Germany,,,,False,False,,
LL Bayern NO - Endr.,,BNOE,,,,,False,False,,
División Profesional,,BO1A,Bolivia,,,,False,False,,
División Profesional Clausura,,BO1C,Bolivia,,,,False,False,,
Oberliga Berlin,Oberliga,BO91,Germany,,,,False,False,,
Premijer Liga BiH,,BOS1,Bosnien-Herzegowina,,,,False,False,,
Prva liga FBIH,,BOS2,Bosnien-Herzegowina,,,,False,False,,
Série A,,BRA1,Brazil,,,,False,False,,
Série B,,BRA2,Brazil,,,,False,False,,
Brandenburgliga,Landesliga,BRBL,Germany,,,,False,False,,
Camp. Carioca - Play-off,,BRP5,,,,,False,False,,
Brunei Super League,,BSL1,Brunei Darussalam,,,,False,False,,
efbet Liga,,BU1,Bulgaria,,,,False,False,,
Vtora Liga,,BU2,Bulgaria,,,,False,False,,
Liga de Belice Apertura,,BZ1A,Belize,,,,False,False,,
U19 Elite League,,C191,,,,,False,False,,
2. Liga inter - Gr. 1 (- 11/12),,C2I2,Switzerland,,,,False,False,,
2. Liga inter - Gr. 5 (- 11/12),,C2I5,Switzerland,,,,False,False,,
Fase Final TBD II,,C2P2,Colombia,,,,False,False,,
National 3 - Grp. K,National 3,C3AR,France,,,,False,False,,
National 3 - Grp. J,National 3,C3BF,France,,,,False,False,,
National 2 - Grp. E,National 2,C3BR,France,,,,False,False,,
National 2 - Grp. A,National 2,C3CM,France,,,,False,False,,
National 3 - Grp. I,National 3,C3GE,France,,,,False,False,,
National 2 - Grp. G,National 2,C3HF,France,,,,False,False,,
National 2 - Grp. H,National 2,C3IF,France,,,,False,False,,
National 2 - Grp. B,National 2,C3NA,France,,,,False,False,,
National 2 - Grp. F,National 2,C3NO,France,,,,False,False,,
N3 - Occitanie,,C3OC,France,,,,False,False,,
Championnat National 2 - Groupe D,,C3PL,,,,,False,False,,
National 2 - Grp. C,National 2,C3VL,France,,,,False,False,,
CanPL,,CDN1,Canada,,,,False,False,,
U17 Elite League,,CH17,Switzerland,,,,False,False,,
U18 Elite League,,CH18,Switzerland,,,,False,False,,
League Two Prom.,,CH3P,China,,,,False,False,,
League Two Rel.,,CH3R,,,,,False,False,,
1. Liga Gr. 1,1. Liga Classic,CHC1,Switzerland,,,,False,False,,
1. Liga Gr. 2,1. Liga Classic,CHC2,Switzerland,,,,False,False,,
1. Liga Gr. 3,1. Liga Classic,CHC3,Switzerland,,,,False,False,,
Primera B Apertura,,CHL2,Chile,,,,False,False,,
League Two A,,CHL3,China,,,,False,False,,
Promotion League,,CHPR,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 1,,CIR1,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 2,,CIR2,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 3,2. Liga interregional,CIR3,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 4,2. Liga interregional,CIR4,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 5,2. Liga interregional,CIR5,Switzerland,,,,False,False,,
2. Liga Inter - Gr. 6 (- 21/22),,CIR6,Switzerland,,,,False,False,,
Liga de Ascenso,,CL2B,Chile,,,,False,False,,
Liguilla Promoción,,CL2P,Chile,,,,False,False,,
League Two B,,CL3S,China,,,,False,False,,
Liga Primera,,CLPD,Chile,,,,False,False,,
Copa Proyección Clausura,,CLPF,Argentina,,,,False,False,,
National 1 - Grp. A,National 1,CN2A,France,,,,False,False,,
Championnat National 1 - Groupe B,,CN2B,France,,,,False,False,,
National 1 - Grp. C,National 1,CN2C,France,,,,False,False,,
National League,,CNAT,England,,,,False,False,,
Torneo DIMAYOR II,,CO22,Colombia,,,,False,False,,
Torneo DIMAYOR I,,CO2T,Colombia,,,,False,False,,
Liga DIMAYOR II,,COL1,Colombia,,,,False,False,,
Fase Final LBD II,,COLO,Colombia,,,,False,False,,
Liga DIMAYOR I,,COLP,Colombia,,,,False,False,,
Copa Proyección Clau. Playoff,,CPP2,Argentina,,,,False,False,,
CP - Série A,,CPSA,Portugal,,,,False,False,,
CP - Série B,,CPSB,Portugal,,,,False,False,,
CP - Série C,,CPSC,Portugal,,,,False,False,,
CP - Série D,,CPSD,Portugal,,,,False,False,,
Prva HNL - Juniori,,CR19,Croatia,,,,False,False,,
Primera División Apertura,,CRPD,Costa Rica,,,,False,False,,
Apertura Play-Off,,CRPV,Costa Rica,,,,False,False,,
CSL Championship Play-Offs,,CSLC,,,,,False,False,,
2. Division,,CYP2,Cyprus,,,,False,False,,
1. liga U19,,CZ19,Czech Republic,,,,False,False,,
Juniorska liga,,CZ21,,,,,False,False,,
CFL,,CZ3C,Czech Republic,,,,False,False,,
MSFL,,CZ3M,Czech Republic,,,,False,False,,
Superliga,,DK1,Denmark,,,,False,False,,
1.Division,,DK2,Denmark,,,,False,False,,
2.Division,,DK3O,Denmark,,,,False,False,,
2.Division Aufstiegsrunde,,DK3V,Denmark,,,,False,False,,
3.Division,,DK4L,Denmark,,,,False,False,,
2.Division Abstiegsrunde,,DKDA,Denmark,,,,False,False,,
U19 Drenge Divisionen,,DKDD,Denmark,,,,False,False,,
U19 Drenge Ligaen,,DKDL,Denmark,,,,False,False,,
Liga Dominicana de Fútbol,,DOM1,Dominican Republic,,,,False,False,,
PL2 Playoffs,,E21P,England,,,,False,False,,
2ª B - Abstiegsrunde,,E3FD,Spain,,,,False,False,,
Primera Federación - Gr. I,Primera Federación,E3G1,Spain,,,,False,False,,
Primera Federación - Gr. II,Primera Federación,E3G2,Spain,,,,False,False,,
Segunda Federación - Gr. I,Segunda Federación,E4G1,Spain,,,,False,False,,
Segunda Federación - Gr. II,Segunda Federación,E4G2,Spain,,,,False,False,,
Segunda Federación - Gr. III,Segunda Federación,E4G3,Spain,,,,False,False,,
Segunda Federación - Gr. IV,Segunda Federación,E4G4,Spain,,,,False,False,,
Segunda Federación - Gr. V,,E4G5,Spain,,,,False,False,,
LigaPro Serie A,,EC1N,Ecuador,,,,False,False,,
Liga Pro Serie B,,EC2L,Ecuador,,,,False,False,,
Serie B Aufstieg,,ECB2,Ecuador,,,,False,False,,
Serie B Abstieg,,ECB3,,,,,False,False,,
Liga Pro Meisterrunde,,ECP1,,,,,False,False,,
Liga Pro Playoff Sudamericana,,ECP2,Ecuador,,,,False,False,,
Liga Pro Abstiegsrunde,,ECP3,Ecuador,,,,False,False,,
U17 Eliitliiga,,EE17,,,,,False,False,,
U19 Eliitliiga Esiliiga,,EE19,Estonia,,,,False,False,,
U19 Eliitliiga Meistriliiga,,ELME,Estonia,,,,False,False,,
Regionalliga Tirol (- 2023),,ELTI,Austria,,,,False,False,,
LaLiga,,ES1,Spain,,,,False,False,,
U17 Eliitliiga Esiliiga,,ES17,,,,,False,False,,
LaLiga2,,ES2,Spain,,,,False,False,,
2ª B - Grupo I,,ES3A,Spain,,,,False,False,,
2ª B - Grupo II,,ES3B,Spain,,,,False,False,,
2ª B - Grupo III,,ES3C,Spain,,,,False,False,,
2ª B - Grupo IV,,ES3D,Spain,,,,False,False,,
2ª B - Grupo V,,ES3E,Spain,,,,False,False,,
Premium Liiga,,EST1,Estonia,,,,False,False,,
Esiliiga,,EST2,Estonia,,,,False,False,,
Esiliiga B,,EST3,Estonia,,,,False,False,,
Relegation Estland,,ESTR,,,,,False,False,,
P18 SM Quali,,F18Q,,,,,False,False,,
National U19 - Grp. A,National U19,F19A,France,,,,False,False,,
National U19 - Grp. B,National U19,F19B,France,,,,False,False,,
National U19 - Grp. C,National U19,F19C,France,,,,False,False,,
National U19 - Grp. D,National U19,F19D,France,,,,False,False,,
Veikkausliiga Abstiegsrunde,,F1CC,Finland,,,,False,False,,
Veikkausliiga Meisterrunde,,F1CL,Finland,,,,False,False,,
Kakkonen Abstiegsrunde C,Kakkonen,F3KC,Finland,,,,False,False,,
Kolmonen Pohjoinen,Kolmonen,F4KP,Finland,,,,False,False,,
Kolmonen Läntinen,Kolmonen,F4LA,Finland,,,,False,False,,
1. deild,,FAR2,Färöer,,,,False,False,,
Meistaradeildin,,FARO,Färöer,,,,False,False,,
Ykkösliiga,,FI2,Finland,,,,False,False,,
Kakkonen - Gruppe A,Kakkonen,FI3A,Finland,,,,False,False,,
Kakkonen - Gruppe B,Kakkonen,FI3B,Finland,,,,False,False,,
Kakkonen - Gruppe C,Kakkonen,FI3C,Finland,,,,False,False,,
Ykkönen Promotion Group,,FI3P,Finland,,,,False,False,,
Kakkonen - Süd,,FI3S,,,,,False,False,,
Kolmonen Itäinen,Kolmonen,FI4L,Finland,,,,False,False,,
Relegation Ykkösliiga,,FI4R,Finland,,,,False,False,,
Fiji Premier League,,FIJ1,Fiji,,,,False,False,,
Kakkonen Play-off,,FIKP,Finland,,,,False,False,,
A-pojat SM-sarja Quali,,FINJ,Finland,,,,False,False,,
Ykkönen,,FIYK,Finland,,,,False,False,,
A-Pojat SM Sarja Endrunde,,FJE,Finland,,,,False,False,,
Kakkonen Aufstiegsrunde A,Kakkonen,FP3A,Finland,,,,False,False,,
Ligue 1,,FR1,France,,,,False,False,,
Ligue 2,,FR2,France,,,,False,False,,
Ligue 3,,FR3,France,,,,False,False,,
Gibraltar U18 League,,G17L,Gibraltar,,,,False,False,,
Premier League,,GB1,England,,,,False,False,,
U18 Premier League,,GB18,England,,,,False,False,,
Championship,,GB2,England,,,,False,False,,
Premier League 2,,GB21,England,,,,False,False,,
League One,,GB3,England,,,,False,False,,
League Two,,GB4,England,,,,False,False,,
Reserve League,,GBR,England,,,,False,False,,
Erovnuli Liga,,GE1N,Georgia,,,,False,False,,
Pirveli Liga (bis 12/2016),,GE2H,Georgia,,,,False,False,,
Umaghlesi Liga (bis 12/2016),,GEO1,Georgia,,,,False,False,,
Erovnuli Liga 2,,GEO2,Georgia,,,,False,False,,
Gibraltar Football League,,GI1,Gibraltar,,,,False,False,,
Championship Group,,GN1P,Gibraltar,,,,False,False,,
Super League 1,,GR1,Greece,,,,False,False,,
Football League,,GR2,Greece,,,,False,False,,
Super League U19,,GR20,Greece,,,,False,False,,
Football League Süd,,GR2S,Greece,,,,False,False,,
G' Ethniki Play-off,,GRP2,Greece,,,,False,False,,
Super League 2,,GRS2,Greece,,,,False,False,,
Gozo League,,GZO1,,,,,False,False,,
Vierde Divisie B Samstag,Vierde Divisie,HBZA,Netherlands,,,,False,False,,
Vierde Divisie B Sonntag,Vierde Divisie,HBZO,Netherlands,,,,False,False,,
Hongkong Premier League,,HGKG,Hong Kong,,,,False,False,,
HKPL U22 League,,HK22,,,,,False,False,,
Hong Kong First Division,,HK2L,Hong Kong,,,,False,False,,
Hong Kong Second Division,,HK3L,Hong Kong,,,,False,False,,
Hokushin'etsu Football League (Div.1),,HKSE,Japan,,,,False,False,,
Liga Nacional Apertura,,HO1A,Honduras,,,,False,False,,
LNPHN Apertura Playoff,,HOAP,Honduras,,,,False,False,,
Liga Nacional Clausura,,HOC1,Honduras,,,,False,False,,
Primavera 1,,IJ1,Italy,,,,False,False,,
Primavera 2 - A,Primavera 2,IJ2A,Italy,,,,False,False,,
Primavera 2 - B,Primavera 2,IJ2B,Italy,,,,False,False,,
EPA Super League U20,,IN20,,,,,False,False,,
Liga Nusantara,,IN3L,Indonesia,,,,False,False,,
Indian Super League,,IND1,India,,,,False,False,,
I-League 2,,IND2,India,,,,False,False,,
Indian Football League,,INIL,India,,,,False,False,,
Super League Kerala,,INR1,,,,,False,False,,
Premier Division,,IR1,Ireland,,,,False,False,,
First Division,,IR2,Ireland,,,,False,False,,
Persian Gulf League,,IRN1,Iran,,,,False,False,,
Azadegan League,,IRN2,Iran,,,,False,False,,
League 2,,IRN3,Iran,,,,False,False,,
Iraq Stars League,,IRQ1,Iraq,,,,False,False,,
Besta deild,,IS1,Iceland,,,,False,False,,
Besta Deild - Endr.,,IS1P,Iceland,,,,False,False,,
Lengjudeild,,IS2,Iceland,,,,False,False,,
2. deild,,ISL3,Iceland,,,,False,False,,
Ligat ha'Al,,ISR1,Israel,,,,False,False,,
Liga Leumit,,ISR2,Israel,,,,False,False,,
Serie A,,IT1,Italy,,,,False,False,,
Serie B,,IT2,Italy,,,,False,False,,
Serie C - A,Serie C,IT3A,Italy,,,,False,False,,
Serie C - B,Serie C,IT3B,Italy,,,,False,False,,
Serie C - C,Serie C,IT3C,Italy,,,,False,False,,
Serie D - A,Serie D,IT4A,Italy,,,,False,False,,
Serie D - B,Serie D,IT4B,Italy,,,,False,False,,
Serie D - C,Serie D,IT4C,Italy,,,,False,False,,
Serie D - D,Serie D,IT4D,Italy,,,,False,False,,
Serie D - E,Serie D,IT4E,Italy,,,,False,False,,
Serie D - F,Serie D,IT4F,Italy,,,,False,False,,
Serie D - G,Serie D,IT4G,Italy,,,,False,False,,
Serie D - H,Serie D,IT4H,Italy,,,,False,False,,
Serie D - I,Serie D,IT4I,Italy,,,,False,False,,
Lega Pro 2 - A,,IT4X,,,,,False,False,,
Lega Pro 2 - B,,IT4Y,Italy,,,,False,False,,
Lega Pro 2 - C,,IT4Z,,,,,False,False,,
