url,land
https://www.transfermarkt.de/regionalliga-nord/transfers/wettbewerb/RLN3,Deutschland
https://www.transfermarkt.de/regionalliga-nordost/transfers/wettbewerb/RLN4,Deutschland
https://www.transfermarkt.de/regionalliga-west/transfers/wettbewerb/RLW3,Deutschland
https://www.transfermarkt.de/regionalliga-sudwest/transfers/wettbewerb/RLSW,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3,Deutschland
https://www.transfermarkt.de/regionalliga-nord/transfers/wettbewerb/RLN3,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nordost/transfers/wettbewerb/RLN4/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-west/transfers/wettbewerb/RLW3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-sudwest/transfers/wettbewerb/RLSW/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nord/transfers/wettbewerb/RLN3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nordost/transfers/wettbewerb/RLN4/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-west/transfers/wettbewerb/RLW3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-sudwest/transfers/wettbewerb/RLSW/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nord/transfers/wettbewerb/RLN3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nordost/transfers/wettbewerb/RLN4/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-west/transfers/wettbewerb/RLW3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-sudwest/transfers/wettbewerb/RLSW/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-bayern/transfers/wettbewerb/RLB3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/regionalliga-nord/transfers/wettbewerb/RLN3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/hessenliga/transfers/wettbewerb/OBLC/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/hessenliga/transfers/wettbewerb/OBLC/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/hessenliga/transfers/wettbewerb/OBLC/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/nofv-oberliga-sud/transfers/wettbewerb/OBLG/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/nofv-oberliga-sud/transfers/wettbewerb/OBLG/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/nofv-oberliga-sud/transfers/wettbewerb/OBLG/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/oberliga-baden-wurttemberg/transfers/wettbewerb/OBLB/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/oberliga-baden-wurttemberg/transfers/wettbewerb/OBLB/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/oberliga-baden-wurttemberg/transfers/wettbewerb/OBLB/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-nord/transfers/wettbewerb/OLB1/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-nord/transfers/wettbewerb/OLB1/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-nord/transfers/wettbewerb/OLB1/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-sud/transfers/wettbewerb/OLB2/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-sud/transfers/wettbewerb/OLB2/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/bayernliga-sud/transfers/wettbewerb/OLB2/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Deutschland
https://www.transfermarkt.de/league-two/transfers/wettbewerb/GB4/plus/?saison_id=2026&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/league-two/transfers/wettbewerb/GB4/plus/?saison_id=2025&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/league-two/transfers/wettbewerb/GB4/plus/?saison_id=2024&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/league-two/transfers/wettbewerb/GB4/plus/?saison_id=2023&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/league-two/transfers/wettbewerb/GB4/plus/?saison_id=2022&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league/transfers/wettbewerb/CNAT/plus/?saison_id=2026&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league/transfers/wettbewerb/CNAT/plus/?saison_id=2025&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league/transfers/wettbewerb/CNAT/plus/?saison_id=2024&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league/transfers/wettbewerb/CNAT/plus/?saison_id=2023&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league/transfers/wettbewerb/CNAT/plus/?saison_id=2022&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-north/transfers/wettbewerb/NLN6/plus/?saison_id=2026&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-north/transfers/wettbewerb/NLN6/plus/?saison_id=2025&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-north/transfers/wettbewerb/NLN6/plus/?saison_id=2024&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-north/transfers/wettbewerb/NLN6/plus/?saison_id=2023&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-north/transfers/wettbewerb/NLN6/plus/?saison_id=2022&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-south/transfers/wettbewerb/NLS6/plus/?saison_id=2026&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-south/transfers/wettbewerb/NLS6/plus/?saison_id=2025&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-south/transfers/wettbewerb/NLS6/plus/?saison_id=2024&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-south/transfers/wettbewerb/NLS6/plus/?saison_id=2023&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/national-league-south/transfers/wettbewerb/NLS6/plus/?saison_id=2022&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/tweede-divisie/transfers/wettbewerb/NTD/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/tweede-divisie/transfers/wettbewerb/NTD/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/tweede-divisie/transfers/wettbewerb/NTD/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/tweede-divisie/transfers/wettbewerb/NTD/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-b/transfers/wettbewerb/511/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-b/transfers/wettbewerb/511/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-b/transfers/wettbewerb/511/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-b/transfers/wettbewerb/511/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/u18-premier-league/transfers/wettbewerb/GB18/plus/?saison_id=2026&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/u18-premier-league/transfers/wettbewerb/GB18/plus/?saison_id=2025&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/u18-premier-league/transfers/wettbewerb/GB18/plus/?saison_id=2024&s_w=&leihe=1&intern=0,England
https://www.transfermarkt.de/1ste-nationale-ffa/transfers/wettbewerb/BE3A/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Belgien
https://www.transfermarkt.de/1ste-nationale-ffa/transfers/wettbewerb/BE3A/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Belgien
https://www.transfermarkt.de/1ste-nationale-ffa/transfers/wettbewerb/BE3A/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Belgien
https://www.transfermarkt.de/1ste-nationale-ffa/transfers/wettbewerb/BE3A/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Belgien
https://www.transfermarkt.de/derde-divisie-a/transfers/wettbewerb/510/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-a/transfers/wettbewerb/510/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-a/transfers/wettbewerb/510/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/derde-divisie-a/transfers/wettbewerb/510/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Niederlande
https://www.transfermarkt.de/segunda-federacion-grupo-i/transfers/wettbewerb/E4G1/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Spanien
https://www.transfermarkt.de/segunda-federacion-grupo-i/transfers/wettbewerb/E4G1/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Spanien
https://www.transfermarkt.de/segunda-federacion-grupo-i/transfers/wettbewerb/E4G1/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Spanien
https://www.transfermarkt.de/segunda-federacion-grupo-i/transfers/wettbewerb/E4G1/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Spanien
https://www.transfermarkt.de/segunda-federacion-grupo-i/transfers/wettbewerb/E4G1/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Spanien
https://www.transfermarkt.de/1-division/transfers/wettbewerb/DK2/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Dänemark
https://www.transfermarkt.de/1-division/transfers/wettbewerb/DK2/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Dänemark
https://www.transfermarkt.de/1-division/transfers/wettbewerb/DK2/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Dänemark
https://www.transfermarkt.de/1-division/transfers/wettbewerb/DK2/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Dänemark
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2026&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Schweden
